設問1	設問2	設問3	設問4	設問5	設問6	設問7	設問8	設問9	会員ID
横浜市	医療・福祉	医療体制が充実している	子育て	教育施設にアクセスしやすい	買物・飲食	物価が高い	地域行政	より良い生活を実現したい	1231497764
横浜市	住宅環境	緑が多くて自然豊か。治安も良く住みやすい	買物・飲食	飲食店やスーパーなど沢山ある。選択肢が多いから楽しみも増える。	事故・犯罪	裕福な家庭が多い為詐欺被害などが多発しているらしいから	自然の恵み	農協さんのお店がもっと行きやすかったら良いのにと思う	1232807468
横浜市	移動・交通	家から至近距離に駅があり、どこに行くのにも便利だから。	住宅環境	閑静な住宅街で安心して暮らせるから	自然災害	巨大地震の対策をしてほしい	環境共生	都市にも緑を増やしてほしい	1231392298
川崎市	住宅環境	利便性が良い	移動・交通	都心に近い	子育て	支援の拡充	初等・中等教育	支援の拡充	1233233946
横浜市	移動・交通	都内へのアクセスがいい点	買物・飲食	ショッピングモールなどが多い	地域行政	他地域と比べ、住民税が高いので、市民に割引やクーポンなど還元してほしい	医療・福祉	高齢者以外にも優遇してほしい	1232526056
横浜市	移動・交通	2線使用できるので、交通災害があってもなんとかなる	医療・福祉	病院が多い	都市景観	古い公共建物が多い	自然の恵み	公園スポーツ施設を作って欲しい	1230523693
相模原市	移動・交通	横浜線最寄り駅前に住んでいて利便がかなり高いから	買物・飲食	スーパーなどが充実した	医療・福祉	まったくだめ。政令都市やで	遊び・娯楽	遊ぶとこまったくなし	1235920805
藤沢市	移動・交通	駅までのバスが比較的多い	買物・飲食	店が近くに多い	住宅環境	周りが騒がしい	事故・犯罪	不審者の取り締まり	1236604450
横浜市	買物・飲食	お店が多い	移動・交通	駅やバス停が多い	遊び・娯楽	娯楽施設が少ない	医療・福祉	大きな病院がない	1234413764
横浜市	移動・交通	通勤に便利	買物・飲食	買い物に便利	地域行政	区役所が遠い	地域行政	区役所が遠い	1235779098
横浜市	遊び・娯楽	横浜駅と川崎駅には娯楽が多い	移動・交通	JRや私鉄が多くある	買物・飲食	都市以外にも開発	デジタル生活	行政が悪い	1233805645
横浜市	買物・飲食	家の近くにショッピングセンターなどが複数あるから	移動・交通	電車やバスのネットワークが充実しているから	自然災害	土砂崩れなどの可能性がある場所の対策を強化してほしい	デジタル生活	フリーWiFiのエリアを広げ、電波を強くしてほしい。	1230476512
横浜市	移動・交通	東横線・グリーンラインに加えて、新横浜線もできて、どの方面へも行きやすいから。	買物・飲食	チェーン店のものはほとんどあり、定番のスーパーもそろっているから。	医療・福祉	人口のわりに少ないと思うから。	自然災害	避難場所を充実させてほしい。	1230551168
横浜市	移動・交通	電車の本数や路線が多く、飛行場もそれなりに近い。	医療・福祉	廻りに大小さまざまない医療機関多くある。	地域行政	何とか税が多すぎる。	公共空間	特にはないが、建物間の空間が狭すぎる。	1233911862
横浜市	買物・飲食	公共交通機関を利用しなくても、日用品の買い物ができるお店が多い。	医療・福祉	病院が多く、複数の診療科目を集めた医療ビルもあり、もしものときに安心感がある。	移動・交通	坂が多く、高齢者には移動がきつい。自転車の移動も向かない。	住宅環境	古い家屋が多く、また隣り合わせで建っているので、災害のときに倒壊しそうで怖い。	1228138677
横浜市	買物・飲食	少し車やバスや電車に乗ればどこへでも行けますし買い物に困ることはありません。	遊び・娯楽	バスや電車ですぐに行ける場所に遊ぶところが多すぎて困るくらいです。	自然災害	とにかく崖が多いです。土砂災害対策をしてほしいです。	事故・犯罪	犯罪が多い地域があります。安心して暮らせるように防犯に力を入れてほしいと思います。	1234806112
横浜市	買物・飲食	車がなくても不便を感じない	移動・交通	車がなくても不便を感じない	事故・犯罪	油断できない	自然災害	防災対策がいまいち我々に伝わらない	1231580876
藤沢市	買物・飲食	アクセスが良く、大型ショッピングモールがあり、新鮮な魚介や野菜・果物など魅力がたくさんある。	自然景観	江の島、 湘南海岸、引地川、境川、 湧水など特徴ある自然環境があり、植 物の分布や動物の分布にも大きく関わっている。	デジタル生活	スマート藤沢として掲げるテクノロジーの活用が進むまちとしての評価が低い。	住宅環境	ひとり暮らしや低所得者層等の住宅確保要配慮者の賃貸住宅への円滑な入居の問題。	1230867283
横浜市	買物・飲食	自宅から数百メートル圏内で生活に関する物が全て整う。	移動・交通	最寄りの駅まではバス移動なのですが、バスの本数も多く、最寄りの駅もいくつもの線があり、何処へ出るのも非常に便利だから。	事故・犯罪	多国籍の人が集まる地域なので仕方無いとは思うのですが、犯罪が他の地域よりは多い	自然災害	最近大災害が多いので不安。改善が間に合わなそう。	1235247036
横浜市	移動・交通	電車が豊富	買物・飲食	お店が充実	住宅環境	家賃が高い	遊び・娯楽	混雑	1226465241
横浜市	移動・交通	鉄道網があり、移動に便利	子育て	地区センター	買物・飲食	スーパーが多い	環境共生	排気ガスで呼吸器疾患が多い	1230505027
横浜市	遊び・娯楽	なんでもある。	住宅環境	住みやすい	地域行政	地域情報紙の見出しで市長が有名人との会談ばかりしている。	買物・飲食	生活消費を推進する事をまたやってほしい。(レシ活でも何でも)	1235642581
横浜市	移動・交通	交通網が充実してる	買物・飲食	スーパーが多い	子育て	補助金を増やして欲しい	事故・犯罪	もう少しパトロールを増やして欲しい	1234540761
横浜市	移動・交通	交通網が充実している	買物・飲食	あらゆるジャンルの店舗が揃っている	自然災害	崖崩れ防止対策をもっと充実してほしい	事故・犯罪	街頭に防犯カメラをもっと設置してほしい	1231576726
伊勢原市	移動・交通	公共バスのバス停が自宅の近くにある為。	自然の恵み	自然が豊かな場所な為。	買物・飲食	最寄りの駅前に、入りたくなるような飲食店が少ない為。	公共空間	空き地がそのままになっている為、地域に役立つような施設を建設して頂きたいです。	1234280637
横浜市	買物・飲食	どこに行くにも車は必須だが、どこに行ってもお店はたくさんあるので数時間のうちに必要なものが全て手に入れられる。	移動・交通	横浜でも車社会で電車やバスより車移動のほうがスムーズだったりする。電車は数分に1本、バスは1時間に4本は来る地域で行きたい所に不便なく行けるのも魅力。	事故・犯罪	神奈川県警の不祥事が多い。	地域行政	なにをしているかわからないから地域行政がどんな改善や行動をしているかわかりやすいように発信してほしい	1236148518
川崎市	事故・犯罪	静かな住宅街で治安がとても良い。	初等・中等教育	小学校と中学校が側にあり、とても便利である。	買物・飲食	飲食店が閉店することが続いて外食がしづらくなったのでお店が増えて欲しい。	移動・交通	バスの便が減ってしまっているので、増やして欲しい。	1229656274
横浜市	移動・交通	電車やバスが便利である	買物・飲食	スーパー、大きなショッピングモールなどが多く買い物するのに便利である	医療・福祉	子供の医療の負担をもっとして欲しい	事故・犯罪	交番をもっと増やして欲しい	1228346254
横浜市	買物・飲食	環境が良い	移動・交通	環境が良い	遊び・娯楽	悪い	子育て	なし	1230861773
相模原市	買物・飲食	買い物を出来る店舗が多い	医療・福祉	遠くまで行かなくても病院が沢山あるので	事故・犯罪	ニュースでもよく犯罪や事故ニュースを取り上げられているので	地域行政	特に改善点はありませんが、一つは選択しなければならなかったので。	1234841571
横浜市	移動・交通	公共交通機関が充実しており、どこにいても少し歩けば、バス停や駅に辿り着け、運行間隔も比較的短いので##	買物・飲食	多くのショッピングセンター、商店や飲食店が、どこにでもあるので	事故・犯罪	夜道での不審者を防ぐため、街灯や防犯システムを充実して頂きたい	地域行政	土日や休日も開館、対応して頂きたい。その代わりに、特定の平日を休みにして頂いても結構。	1233435387
小田原市	自然景観	歴史的	自然の恵み	海と山がある	医療・福祉	障害者向けの政策	子育て	子供が喜ぶ施設	1233047665
三浦市	自然景観	美しい自然がたくさんある	自然の恵み	海や 畑に囲まれ 恵まれている	移動・交通	公共機関が少ない	自然災害	急斜面などが多いので改善して欲しい	1231718048
川崎市	住宅環境	都市の環境と自然の環境が共存しており、都心ほどゴミゴミしていない。居住している人たちも常識的で、周囲に対して配慮ができる方が多い。	移動・交通	鉄道やバスなど公共交通機関がそこそこ充実している。	医療・福祉	頼りになる医療機関が少ない。	買物・飲食	画一的なチェーン店ばかり増えて、特徴のある店舗が消えていってしまう。	1231644080
横浜市	住宅環境	最寄りの駅が3駅あり、交通アクセスは抜群。住宅街たが、公園や緑も多く、住んでいる人の年代も様々で、育児サークルや地域のサークルも盛んなので活気がある。スーパーやコンビニもたくさんあって買い物には困らない。	買物・飲食	スーパー、コンビニ、飲食店など##徒歩圏内に数店舗あり、便利。	事故・犯罪	比較的、犯罪などは少ないし、警察のパトロールも行っているので、安心はしているが、それでも犯罪は皆無ではないので、パトロールなどは今以上に強化して欲しい。	環境共生	人口密度の割には緑などは残ってる方なのかとは思うが、それでも近年、昔からある山がマンションになったり、畑が駐車場になったりと、だんだん自然はなくなってきている。その中でも緑を残す、作ることをやめないで欲しい。	1229308233
相模原市	買物・飲食	近隣に多くのスーパーや飲食店がある	移動・交通	小田急線、横浜線、バスなど交通の便が良い	公共空間	厚木飛行場が近隣にあるので飛行機の騒音を改善して欲しい	子育て	子育て支援の充実	1234401757
横浜市	住宅環境	交通の路線、住むところ、商業地が区分けされており、静かで住みやすい	買物・飲食	飲食店が多く遠くに行かなくてもよい	医療・福祉	比較的病院が多い	事故・犯罪	自転車盗難が多いので取り締まってほしい	1231790100
横浜市	移動・交通	電車で都内に出やすい。	自然景観	住宅街でもあるけれど少し歩いたりすると自然を感じられる。	買物・飲食	飲食店をもっと増やしてほしい。	移動・交通	今以上にもっと便利になると良い。	1234366884
横浜市	住宅環境	落ち着いた雰囲気の住宅地。	移動・交通	2駅利用でき駅までどちらも10分位。	医療・福祉	少し健康保険料が高いかんじなので。	子育て	中学校の給食の無料化をして欲しい。	1231145393
川崎市	遊び・娯楽	飲み屋が多い	公共空間	年が綺麗	医療・福祉	びょうおんこむ	買物・飲食	ならぶ	1233018487
横浜市	移動・交通	湘南にも近く都心にもアクセスしやすい。	住宅環境	自然	医療・福祉	病院	公共空間	騒音	1231046565
相模原市	自然の恵み	公園や緑地が多く、水が良い。	医療・福祉	病院は大小含めてかなりたくさんある。	移動・交通	相模原駅前の一方通行が多すぎる	買物・飲食	風俗店を減らす	1235407747
横浜市	移動・交通	地下鉄、高速など充実している	買物・飲食	近くに大規模なショッピングセンターがいくつもあり困らない	都市景観	清掃が行き届いていないところがある	事故・犯罪	夜中騒がしいところがある	1231709685
横浜市	買物・飲食	不足なし	環境共生	公園が多い	事故・犯罪	交番が少ない	自然災害	ハザードが点在する	1234791748
横浜市	自然災害	地盤が硬いので地震に強い	事故・犯罪	事故や犯罪にあったことがない	買物・飲食	スーパーが1件しかなく不便	公共空間	近くに図書館がない	1236118728
川崎市	移動・交通	東京に近い	事故・犯罪	安全で治安が良い	子育て	子育て支援が国の中で最低基準	買物・飲食	物価が高い	1232609386
厚木市	自然の恵み	川や山が近くにあるけれど、不便なほど田舎ではないところ。	買物・飲食	ひと通り必要なものは揃っているところ。	デジタル生活	もう少しwi-fiの環境を整備してほしい。	地域行政	ごみの集積所を増やしてほしい。	1225181578
横浜市	事故・犯罪	私の居る周辺で全くおこらないから	買物・飲食	住居の目の前にショッピングモールがあるから	デジタル生活	アナログなので、何でもデジタルになると本当に困る	医療・福祉	これから老人になるので近隣に必要な病院が配備されると助かる	1231778516
横浜市	自然災害	高台なので浸水の心配がない。高低差があるので、雨水のはけがよい	事故・犯罪	整然とした街並みで、夜は見知らぬ人が歩き回っていない。静かな環境であること。学校や病院が近くにあり一日を通して人通りが一定あること	自然景観	公園や緑が少ないので増やしてほしい	医療・福祉	人気のある病院だけは混んでいるような気がする。受診に時間がかからないようになればよいと思う。	1231128293
横浜市	遊び・娯楽	病院がたくさんある	買物・飲食	いっぱいある、選べる	住宅環境	物価が高い	移動・交通	高速高い、道路混む	1236291121
平塚市	医療・福祉		医療・福祉		遊び・娯楽		初等・中等教育		1228690063
平塚市	自然景観	海、山、丘陵、川などが近くにあり公害の無い自然が沢山ありながら、買い物、スーパーが多く病院医療も充実し道路環境もよく車移動もスムーズ、北西から南西にかけ山脈があり風や雪雲などをガードし温暖で自然災害もない。都市と田舎の良いとこ取りのレジャー施設も近くに多くあり正しく穴場です。	都市景観	道路が広く渋滞がない。鉄道の駅を中心に住宅街が里山や海岸にきれいな形でひろがっている。	移動・交通	広い自治体なのでバスだけではなく路面電車が出来ると更に暮らしやすくなるだろう。##	地域行政	保守政治地域から変わってほしい。抜け出す為にまず自治会が男尊女卑の古い体質なので、新たな未来の為に無くなるか生まれ変わってほしい。	1234309632
川崎市	自然災害	この地域に住んでから、洪水、崖崩れなどには遭遇していない。	事故・犯罪	この地域に住んでから大きな犯罪の話は聞いていない。	買物・飲食	歩いて10分以内には好みの飲食店が乏しい。ファーストフード店が一軒でもあればと思う。	公共空間	散歩に向くような公園や緑道があればと思う。	1234432745
横浜市	住宅環境	交通の便が良いので商業施設に行きやすい##	デジタル生活	光ファイバー網に入っているので通信環境が良い	自然災害	津波等々の避難場所を明確にしてほしい	都市景観	ｍｍ21でビルが乱立しているように感じる	1231711468
横浜市	公共空間	便利だから	移動・交通	便利だから	遊び・娯楽	テーマパークほしい	医療・福祉	無料にしてほしい	1235146599
川崎市	移動・交通	どこに行くにもある程度便利	買物・飲食	適度に店がある	都市景観	もっとかっこよく	自然景観	よりおおく	1232704075
横浜市	移動・交通	三路線にアクセス出来る所に住んでいるのと、バスの路線と本数が多い事。	都市景観	みなとみらいの夜景が何となく見えるから。	買物・飲食	近くにマンションが多いのに店が少ないのと、レジでの支払いに時間かかるから。	事故・犯罪	中国人や朝鮮人、東南アジア人などの外人が多くて治安が悪いから。	1236398953
横浜市	医療・福祉	市長ががかわったから	買物・飲食	便利	自然の恵み	自然が少ない	事故・犯罪	都会なので	1234497961
横浜市	移動・交通	出かける時などの移動がしやすい。	買物・飲食	スーパーや医療品の店が近くに多い。	医療・福祉	病院、特に発熱外来など東京などに比べすぐに対応できるところが少ない。コロナ禍の時に感じました。	地域行政	選挙の投票などはスーパーなどでできる様にして欲しい。	1236786338
横浜市	買物・飲食	生活必需品については、車があれば、自宅から遠くても３０分以内の距離でほぼほぼのものがそろう。##贅沢なもの、高級なものが欲しい、高級感のある場所、贅沢な料理、中華街に行きたければ、電車で十数分の距離に行けばたくさんある。	移動・交通	バスの路線の充実、駅に出れば都心へは２０分程、反対方面の横浜方面へは十数分で着く。	遊び・娯楽	たくさん娯楽施設が欲しいとは思わないが、景観のいい場所や、アウトレットモールなどがあればいいと思う。	事故・犯罪	大きな何かが起きたわけではないが、駅から離れた住宅街なので、昼間でも通りに人がいなく、夜はとても不安になる。	1236337075
逗子市	住宅環境	閑静である。自宅周辺の住民の民度が高い（自宅のある町の投票率の高さなどからも判断できる）	買物・飲食	便利なスーパーが近くにある	移動・交通	特に休日，渋滞が多い。	地域行政	改善しようがないが，市の財政が貧困	1233113306
横浜市	移動・交通	駅やバス停に近く、タクシー等もつかまえやすい	買物・飲食	スーパーやコンビニが近い##	移動・交通	高速道路の騒音、振動を改善してほしい##	自然景観	公園を増やしてほしい	1234473041
横須賀市	自然景観	海、山があり自然を身近に感じられます。夜にたまにふくろうの鳴き声が聞こえる時もありますね。	移動・交通	まあ、1本で都内に行ける所かな。	買物・飲食	ちょっと生活圏にスーパーが少ない。	住宅環境	坂道が多すぎ。	1230569793
川崎市	医療・福祉	近くに病院が山のようにある	移動・交通	駅まで徒歩二分なので車がいらない	医療・福祉	福祉に金をかけていない。##自民党議員が無駄な金を使っている気がする	都市景観	雑木の剪定が杜撰なため公道が危険	1230574639
川崎市	移動・交通	東京や横浜など、都市部への交通の便がとてもよく、仕事で遅くなっても1時間以内に家まで帰れるところが良い。	子育て	少子高齢化が騒がれる中、比較的子育てをしている世帯が多いため、そこに税金が使われていると思われる施設、設備が多いと感じるため。	住宅環境	立地が良い分、地価が高く、一般庶民には住宅購入が高嶺の花になっているため、空き家の再利用など行なってほしい。	公共空間	市営、県営のジムなどの施設が近くにないため、格安で利用できる公的な施設を増やしてほしい。	1231087781
横浜市	住宅環境	治安が良く、環境が良い。	自然景観	景観がよろしい。美しい。	移動・交通	駅まで遠いです。	自然の恵み	横浜は坂が多いです。疲れます。	1233973613
横浜市	買物・飲食	便利だから	移動・交通	便利だから	地域行政	充実させてほひい	医療・福祉	無料	1234560506
平塚市	買物・飲食	普段の買い物で食品や日用品など生活必需品の購入に不自由はないから。飲食店もジャンル問わずそれなりに充実しているから。	住宅環境	郊外なので家賃が他の都市より安いと思う。	移動・交通	鉄道駅が一つしかないのはなかなか珍しい。北部は不便過ぎるので鉄道駅を新設して欲しい。	デジタル生活	地域独自の電子マネーが存在するが、そのせいか大手コード決済の還元キャンペーンが全く行われない。導入当初、利用者が限定されるなど不公平さが先入観として残っているため未だに一度も利用したことがない。	1234003773
横浜市	住宅環境	大変静かな住宅環境だから	医療・福祉	近くに地域密着型の医院が揃っている。	移動・交通	抜け道があり狭い通りに車が多いため車両通行禁止にして欲しい。	自然景観	公園が近くに欲しい	1235379158
横浜市	買物・飲食	生活範囲にお店が多い。	移動・交通	交通の便がよい。	事故・犯罪	特別ないが現状を保ってほしい。	自然災害	大災害にも備えをしっかりしてほしい。	1224955597
横浜市	事故・犯罪	大きな犯罪や事故も無く平和な日々を過ごせます。	自然災害	近くに大きな公園あり何時でも行けます。	デジタル生活	高齢になるとデジタル機器の操作が難しいので切り替えは止めてほしい。	移動・交通	バスで目的地に行くのに何回か乗り換えることあるので直接行けると便利です。	1225623716
三浦市	住宅環境	安心で静かな暮らしが出来る##自然が豊かで平穏な暮らしが出来る	移動・交通	バス、電車が便利で不便がない	公共空間	図書館などの落ち着く場所の魅力がない	買物・飲食	もう少し飲食店が欲しい	1229261797
秦野市	住宅環境	暮らしやすいと思うから。	子育て	あまり人がいなく暮らしやすいから	医療・福祉	病院があまりない	移動・交通	不便なため	1234503928
横浜市	買物・飲食	店舗数、種類	移動・交通	交通機関多い	事故・犯罪	治安が悪い	自然災害	地震対策	1235467291
川崎市	住宅環境	よかった	買物・飲食	よかった	買物・飲食	よかった	事故・犯罪	治安	1227914766
横浜市	移動・交通	本数が多い	住宅環境	騒音が少ない	事故・犯罪	事故が多い	医療・福祉	厚生年金支払いが高い	1227183688
川崎市	移動・交通	東京都心に早く行ける	買物・飲食	生活必需品は最低限揃う	事故・犯罪	物騒な事件が時々発生する	遊び・娯楽	分からない	1226629872
横浜市	買物・飲食	お店が多くアクセスもよい	移動・交通	駅やバス停が多い	医療・福祉	大きな病院が少ない	遊び・娯楽	娯楽施設が少ない	1236624040
川崎市	医療・福祉	大きな病院が、駅の近くに有り、その他もろもろの病院やクリニックが、たくさんあって、楽だから。	移動・交通	JRと私鉄が交差している駅が有り、新宿まで16分、川崎まで27分、東京駅まで50分くらいなので、便利だと思うから。	買物・飲食	飲食店は、それなりにあるが、大手の飲食店が、あまり参入して来ない。特に回転寿司がないのが、不満です。	遊び・娯楽	ボーリング場がなく、ゲームセンターが1件しかなく、これと言って、遊べる場所がないのが、不満です。	1233814983
横浜市	買物・飲食	回りにたくさんお店がある	移動・交通	いろいろな方向に電車を1回乗り換える位で行ける	自然の恵み	これ以上自然が壊されないように	医療・福祉	大きい病院がすぐそばにあると良い	1235422503
相模原市	住宅環境	都会過ぎず、田舎過ぎず、のどかな場所だから。	自然災害	大きな川、崖から離れているので。	買物・飲食	ここ一年で近隣のスーパーが続々閉店してしまったので、お店の競争のためにも新店舗がほしい。	移動・交通	リニア以外も注目して、相模線の複線化、バス路線維持なども注力してほしい。	1236498573
横須賀市	事故・犯罪	とくになし	移動・交通	とくになし	買物・飲食	とくになし	地域行政	とくになし	1234931376
横浜市	医療・福祉	たちばな台病院の待合時間が無駄がない。仕組みは初見には面倒。	移動・交通	バスが7分おき。	事故・犯罪	空き巣が多い。捕まらない。	自然災害	能登の地震でも大変だったので、公園の水道、トイレはしっかりしておくべき(数も)。	1237034045
横浜市	住宅環境	近隣の人との関わり	初等・中等教育	小学校、中学校が近い	遊び・娯楽	近くに遊ぶ場所が少ない	自然災害	この前の地震でブロック崩れ発生	1235429163
大和市	移動・交通	都心に出るときには、小田急線、田園都市線、横浜に出る場合は、相鉄線と手段が豊富で、また相鉄線も都心へ行く直通ができ至極便利。	医療・福祉	市立図書館を中心に公共の学びの場所が多いと思います。	買物・飲食	駅から少し離れたところにショッピングセンターやショッピングモールがあるが、駅そばにはあまりない。特に、大和駅にもう少し大きな店が欲しい。	医療・福祉	大和市立病院は、地域の中核病院だが、もう少し高度医療にも対応した信頼の高い病院になってほしい。	1231319288
相模原市	買物・飲食	便利に買い物できる環境にある。	住宅環境	地域の整備がされており住みやすい。	移動・交通	どこへ行くのにも電車、バスのアクセスは良い。	移動・交通	最寄り駅に快速が停まるようにして欲しい。	1232419931
横浜市	移動・交通	なし	買物・飲食	なし	事故・犯罪	なし	子育て	なし	1231984891
横浜市	自然の恵み	公園が充実	自然景観	自然が多い	子育て	子供の施設の充実	医療・福祉	施設の充実	1230775995
