ラベル	満足度	文章	会員ID
住宅環境	不満	古い家屋が多く、また隣り合わせで建っているので、災害のときに倒壊しそうで怖い。	1228138677
買物・飲食	満足	少し車やバスや電車に乗ればどこへでも行けますし買い物に困ることはありません。	1234806112
遊び・娯楽	満足	バスや電車ですぐに行ける場所に遊ぶところが多すぎて困るくらいです。	1234806112
自然災害	不満	とにかく崖が多いです。土砂災害対策をしてほしいです。	1234806112
事故・犯罪	不満	犯罪が多い地域があります。安心して暮らせるように防犯に力を入れてほしいと思います。	1234806112
買物・飲食	満足	アクセスが良く、大型ショッピングモールがあり、新鮮な魚介や野菜・果物など魅力がたくさんある。	1230867283
自然景観	満足	江の島、 湘南海岸、引地川、境川、 湧水など特徴ある自然環境があり、植 物の分布や動物の分布にも大きく関わっている。	1230867283
デジタル生活	不満	スマート藤沢として掲げるテクノロジーの活用が進むまちとしての評価が低い。	1230867283
住宅環境	不満	ひとり暮らしや低所得者層等の住宅確保要配慮者の賃貸住宅への円滑な入居の問題。	1230867283
買物・飲食	満足	自宅から数百メートル圏内で生活に関する物が全て整う。	1235247036
移動・交通	満足	最寄りの駅まではバス移動なのですが、バスの本数も多く、最寄りの駅もいくつもの線があり、何処へ出るのも非常に便利だから。	1235247036
事故・犯罪	不満	多国籍の人が集まる地域なので仕方無いとは思うのですが、犯罪が他の地域よりは多い	1235247036
自然災害	不満	最近大災害が多いので不安。改善が間に合わなそう。	1235247036
地域行政	不満	地域情報紙の見出しで市長が有名人との会談ばかりしている。	1235642581
買物・飲食	不満	生活消費を推進する事をまたやってほしい。(レシ活でも何でも)	1235642581
買物・飲食	不満	最寄りの駅前に、入りたくなるような飲食店が少ない為。	1234280637
公共空間	不満	空き地がそのままになっている為、地域に役立つような施設を建設して頂きたいです。	1234280637
買物・飲食	満足	どこに行くにも車は必須だが、どこに行ってもお店はたくさんあるので数時間のうちに必要なものが全て手に入れられる。	1236148518
移動・交通	満足	横浜でも車社会で電車やバスより車移動のほうがスムーズだったりする。電車は数分に1本、バスは1時間に4本は来る地域で行きたい所に不便なく行けるのも魅力。	1236148518
地域行政	不満	なにをしているかわからないから地域行政がどんな改善や行動をしているかわかりやすいように発信してほしい	1236148518
初等・中等教育	満足	小学校と中学校が側にあり、とても便利である。	1229656274
買物・飲食	不満	飲食店が閉店することが続いて外食がしづらくなったのでお店が増えて欲しい。	1229656274
移動・交通	不満	バスの便が減ってしまっているので、増やして欲しい。	1229656274
買物・飲食	満足	スーパー、大きなショッピングモールなどが多く買い物するのに便利である	1228346254
事故・犯罪	不満	ニュースでもよく犯罪や事故ニュースを取り上げられているので	1234841571
地域行政	不満	特に改善点はありませんが、一つは選択しなければならなかったので。	1234841571
移動・交通	満足	公共交通機関が充実しており、どこにいても少し歩けば、バス停や駅に辿り着け、運行間隔も比較的短いので##	1233435387
買物・飲食	満足	多くのショッピングセンター、商店や飲食店が、どこにでもあるので	1233435387
事故・犯罪	不満	夜道での不審者を防ぐため、街灯や防犯システムを充実して頂きたい	1233435387
地域行政	不満	土日や休日も開館、対応して頂きたい。その代わりに、特定の平日を休みにして頂いても結構。	1233435387
住宅環境	満足	都市の環境と自然の環境が共存しており、都心ほどゴミゴミしていない。居住している人たちも常識的で、周囲に対して配慮ができる方が多い。	1231644080
移動・交通	満足	鉄道やバスなど公共交通機関がそこそこ充実している。	1231644080
買物・飲食	不満	画一的なチェーン店ばかり増えて、特徴のある店舗が消えていってしまう。	1231644080
住宅環境	満足	最寄りの駅が3駅あり、交通アクセスは抜群。住宅街たが、公園や緑も多く、住んでいる人の年代も様々で、育児サークルや地域のサークルも盛んなので活気がある。スーパーやコンビニもたくさんあって買い物には困らない。	1229308233
買物・飲食	満足	スーパー、コンビニ、飲食店など##徒歩圏内に数店舗あり、便利。	1229308233
事故・犯罪	不満	比較的、犯罪などは少ないし、警察のパトロールも行っているので、安心はしているが、それでも犯罪は皆無ではないので、パトロールなどは今以上に強化して欲しい。	1229308233
環境共生	不満	人口密度の割には緑などは残ってる方なのかとは思うが、それでも近年、昔からある山がマンションになったり、畑が駐車場になったりと、だんだん自然はなくなってきている。その中でも緑を残す、作ることをやめないで欲しい。	1229308233
移動・交通	満足	小田急線、横浜線、バスなど交通の便が良い	1234401757
公共空間	不満	厚木飛行場が近隣にあるので飛行機の騒音を改善して欲しい	1234401757
住宅環境	満足	交通の路線、住むところ、商業地が区分けされており、静かで住みやすい	1231790100
自然景観	満足	住宅街でもあるけれど少し歩いたりすると自然を感じられる。	1234366884
買物・飲食	満足	近くに大規模なショッピングセンターがいくつもあり困らない	1231709685
自然の恵み	満足	川や山が近くにあるけれど、不便なほど田舎ではないところ。	1225181578
デジタル生活	不満	もう少しwi-fiの環境を整備してほしい。	1225181578
買物・飲食	満足	住居の目の前にショッピングモールがあるから	1231778516
デジタル生活	不満	アナログなので、何でもデジタルになると本当に困る	1231778516
医療・福祉	不満	これから老人になるので近隣に必要な病院が配備されると助かる	1231778516
自然災害	満足	高台なので浸水の心配がない。高低差があるので、雨水のはけがよい	1231128293
事故・犯罪	満足	整然とした街並みで、夜は見知らぬ人が歩き回っていない。静かな環境であること。学校や病院が近くにあり一日を通して人通りが一定あること	1231128293
医療・福祉	不満	人気のある病院だけは混んでいるような気がする。受診に時間がかからないようになればよいと思う。	1231128293
自然景観	満足	海、山、丘陵、川などが近くにあり公害の無い自然が沢山ありながら、買い物、スーパーが多く病院医療も充実し道路環境もよく車移動もスムーズ、北西から南西にかけ山脈があり風や雪雲などをガードし温暖で自然災害もない。都市と田舎の良いとこ取りのレジャー施設も近くに多くあり正しく穴場です。	1234309632
都市景観	満足	道路が広く渋滞がない。鉄道の駅を中心に住宅街が里山や海岸にきれいな形でひろがっている。	1234309632
移動・交通	不満	広い自治体なのでバスだけではなく路面電車が出来ると更に暮らしやすくなるだろう。##	1234309632
地域行政	不満	保守政治地域から変わってほしい。抜け出す為にまず自治会が男尊女卑の古い体質なので、新たな未来の為に無くなるか生まれ変わってほしい。	1234309632
自然災害	満足	この地域に住んでから、洪水、崖崩れなどには遭遇していない。	1234432745
事故・犯罪	満足	この地域に住んでから大きな犯罪の話は聞いていない。	1234432745
買物・飲食	不満	歩いて10分以内には好みの飲食店が乏しい。ファーストフード店が一軒でもあればと思う。	1234432745
公共空間	不満	散歩に向くような公園や緑道があればと思う。	1234432745
住宅環境	満足	交通の便が良いので商業施設に行きやすい##	1231711468
デジタル生活	満足	光ファイバー網に入っているので通信環境が良い	1231711468
都市景観	不満	ｍｍ21でビルが乱立しているように感じる	1231711468
移動・交通	満足	三路線にアクセス出来る所に住んでいるのと、バスの路線と本数が多い事。	1236398953
都市景観	満足	みなとみらいの夜景が何となく見えるから。	1236398953
買物・飲食	不満	近くにマンションが多いのに店が少ないのと、レジでの支払いに時間かかるから。	1236398953
事故・犯罪	不満	中国人や朝鮮人、東南アジア人などの外人が多くて治安が悪いから。	1236398953
医療・福祉	不満	病院、特に発熱外来など東京などに比べすぐに対応できるところが少ない。コロナ禍の時に感じました。	1236786338
地域行政	不満	選挙の投票などはスーパーなどでできる様にして欲しい。	1236786338
買物・飲食	満足	生活必需品については、車があれば、自宅から遠くても３０分以内の距離でほぼほぼのものがそろう。##贅沢なもの、高級なものが欲しい、高級感のある場所、贅沢な料理、中華街に行きたければ、電車で十数分の距離に行けばたくさんある。	1236337075
移動・交通	満足	バスの路線の充実、駅に出れば都心へは２０分程、反対方面の横浜方面へは十数分で着く。	1236337075
遊び・娯楽	不満	たくさん娯楽施設が欲しいとは思わないが、景観のいい場所や、アウトレットモールなどがあればいいと思う。	1236337075
事故・犯罪	不満	大きな何かが起きたわけではないが、駅から離れた住宅街なので、昼間でも通りに人がいなく、夜はとても不安になる。	1236337075
住宅環境	満足	閑静である。自宅周辺の住民の民度が高い（自宅のある町の投票率の高さなどからも判断できる）	1233113306
移動・交通	満足	駅やバス停に近く、タクシー等もつかまえやすい	1234473041
移動・交通	不満	高速道路の騒音、振動を改善してほしい##	1234473041
自然景観	満足	海、山があり自然を身近に感じられます。夜にたまにふくろうの鳴き声が聞こえる時もありますね。	1230569793
医療・福祉	不満	福祉に金をかけていない。##自民党議員が無駄な金を使っている気がする	1230574639
移動・交通	満足	東京や横浜など、都市部への交通の便がとてもよく、仕事で遅くなっても1時間以内に家まで帰れるところが良い。	1231087781
子育て	満足	少子高齢化が騒がれる中、比較的子育てをしている世帯が多いため、そこに税金が使われていると思われる施設、設備が多いと感じるため。	1231087781
住宅環境	不満	立地が良い分、地価が高く、一般庶民には住宅購入が高嶺の花になっているため、空き家の再利用など行なってほしい。	1231087781
公共空間	不満	市営、県営のジムなどの施設が近くにないため、格安で利用できる公的な施設を増やしてほしい。	1231087781
買物・飲食	満足	普段の買い物で食品や日用品など生活必需品の購入に不自由はないから。飲食店もジャンル問わずそれなりに充実しているから。	1234003773
住宅環境	満足	郊外なので家賃が他の都市より安いと思う。	1234003773
移動・交通	不満	鉄道駅が一つしかないのはなかなか珍しい。北部は不便過ぎるので鉄道駅を新設して欲しい。	1234003773
デジタル生活	不満	地域独自の電子マネーが存在するが、そのせいか大手コード決済の還元キャンペーンが全く行われない。導入当初、利用者が限定されるなど不公平さが先入観として残っているため未だに一度も利用したことがない。	1234003773
移動・交通	不満	抜け道があり狭い通りに車が多いため車両通行禁止にして欲しい。	1235379158
事故・犯罪	満足	大きな犯罪や事故も無く平和な日々を過ごせます。	1225623716
デジタル生活	不満	高齢になるとデジタル機器の操作が難しいので切り替えは止めてほしい。	1225623716
移動・交通	不満	バスで目的地に行くのに何回か乗り換えることあるので直接行けると便利です。	1225623716
住宅環境	満足	安心で静かな暮らしが出来る##自然が豊かで平穏な暮らしが出来る	1229261797
医療・福祉	満足	大きな病院が、駅の近くに有り、その他もろもろの病院やクリニックが、たくさんあって、楽だから。	1233814983
移動・交通	満足	JRと私鉄が交差している駅が有り、新宿まで16分、川崎まで27分、東京駅まで50分くらいなので、便利だと思うから。	1233814983
買物・飲食	不満	飲食店は、それなりにあるが、大手の飲食店が、あまり参入して来ない。特に回転寿司がないのが、不満です。	1233814983
遊び・娯楽	不満	ボーリング場がなく、ゲームセンターが1件しかなく、これと言って、遊べる場所がないのが、不満です。	1233814983
移動・交通	満足	いろいろな方向に電車を1回乗り換える位で行ける	1235422503
住宅環境	満足	都会過ぎず、田舎過ぎず、のどかな場所だから。	1236498573
買物・飲食	不満	ここ一年で近隣のスーパーが続々閉店してしまったので、お店の競争のためにも新店舗がほしい。	1236498573
移動・交通	不満	リニア以外も注目して、相模線の複線化、バス路線維持なども注力してほしい。	1236498573
医療・福祉	満足	たちばな台病院の待合時間が無駄がない。仕組みは初見には面倒。	1237034045
自然災害	不満	能登の地震でも大変だったので、公園の水道、トイレはしっかりしておくべき(数も)。	1237034045
移動・交通	満足	都心に出るときには、小田急線、田園都市線、横浜に出る場合は、相鉄線と手段が豊富で、また相鉄線も都心へ行く直通ができ至極便利。	1231319288
医療・福祉	満足	市立図書館を中心に公共の学びの場所が多いと思います。	1231319288
買物・飲食	不満	駅から少し離れたところにショッピングセンターやショッピングモールがあるが、駅そばにはあまりない。特に、大和駅にもう少し大きな店が欲しい。	1231319288
医療・福祉	不満	大和市立病院は、地域の中核病院だが、もう少し高度医療にも対応した信頼の高い病院になってほしい。	1231319288
移動・交通	不満	どこへ行くのにも電車、バスのアクセスは良い。	1232419931
移動・交通	不満	最寄り駅に快速が停まるようにして欲しい。	1232419931
買物・飲食	満足	店が多くあるので買い物や外食には困らない	1230737882
自然景観	満足	足腰を鍛えるために山へいくのですが、低い山から高い山、整備されてて、最高です##	1237012413
買物・飲食	満足	直ぐ側にドラッグストアや、スーパー、コンビ二があり便利	1237012413
地域行政	不満	水道みちが小学生の通学道にもなっていてその先工業団地があり車の量が多いので道をどちらか一方通行とかにしてほしい	1237012413
自然災害	不満	あまり心配はしていないが、時々起きる災害はよう注意しています	1232117131
住宅環境	不満	公園などで、たばこが無制限に吸われている	1232117131
移動・交通	満足	電車の乗り換えで使える横浜駅や新横浜駅にアクセスしやすい	1234876727
遊び・娯楽	満足	大体歩いてでも遊べる場所にいけるくらい多い	1234876727
住宅環境	満足	遊ぶところもたくさんあって何をするにも便利	1233121422
買物・飲食	満足	近くにスーパー、コンビニ、専門店などたくさんある	1233121422
医療・福祉	不満	クリニックはたくさんあるが、あまり良いクリニックがないように思う	1233121422
事故・犯罪	不満	中国人が多く、彼らの一部はルールを守らない	1233121422
自然景観	満足	少し歩けば川も田んぼもあり、中々見れない野鳥もいてその鳥を見れた時は何故か幸せな気持ちになれます、	1236840886
買物・飲食	満足	家の裏にスーパーとかドラッグストアもあり便利です。	1236840886
住宅環境	不満	家の前が道路で朝晩車が多く子供も通学します、せめて時間帯で一方通行にしてもらいたい。	1236840886
買物・飲食	不満	裏にスーパーがあるけどもう1つ位別のスーパーがあればいい	1236840886
自然景観	満足	川が近く、川越しに富士山が見える。山も見えるし晴れた日には相模湾の大島も見える。	1234348181
買物・飲食	不満	ちょっとしたときに楽しめる、飲食店が少ない	1234348181
遊び・娯楽	不満	ちょっとした時間つぶしの買い物ができる店がない	1234348181
公共空間	満足	戸外、室内の公共空間が良く整備されていて利用しやすいため。	1229585722
地域行政	満足	設問に1番目、2番目という条件を付けるのであれば、最初に断っていただきたかったです。####公共空間とも関連しますが、利用しやすいためです。	1229585722
地域行政	不満	いろいろな手続等をより分かりやすく進めていただきたい。	1229585722
環境共生	不満	ここでも2番目という条件を示されましたが、1番目、2番目があることを予め質問文に提示してほしいものです。##当市は緑が多いですが、少々多すぎる感もあり、順次減らしていく視点も必要かと思います。	1229585722
買物・飲食	不満	高齢者に優しくなく住宅地でも飲食店がなくなって来ている	1235840234
移動・交通	満足	横浜市内の交通網が充実しており、外出に困ることがないから。	1231985355
地域行政	不満	公共サービスの改善がもっと早く行われるようになってほしいから。	1231985355
事故・犯罪	不満	地域によって偏りはあるが、ニュースなどで報道される犯罪が多いから。	1231985355
住宅環境	満足	昔ながらの田園地帯と住宅街が共存している点	1232954744
移動・交通	満足	鉄道と幹線道路で東京方面と横浜方面両方の繁華街にアクセス出来る点	1232954744
公共空間	不満	信号のない横断歩道や大きめの交差点が多いが、横断歩道自体や停止線などの表示が不明瞭のまま何年も放置されている点	1232954744
買物・飲食	満足	適度の距離にスーパー、ショッピングセンターがある	1232218658
環境共生	満足	都会(新宿·横浜等)へも観光地(江ノ島·鎌倉·富士箱根等)へも比較的短時間で行ける立地。	1230490943
買物・飲食	不満	近くに大型スーパーが少ないので、茅ヶ崎市にできたら嬉しいです。	1230490943
遊び・娯楽	不満	引っ越してきた人が多く近所付き合いが殆どない。隣人と一緒に何か娯楽をすることなどまったくない。	1230490943
事故・犯罪	不満	自宅前の道路に暴走族がよく走っていて煩い	1236998709
買物・飲食	不満	昔からある商店などが減って代替サービスが見つからなかったりする事	1227950414
医療・福祉	満足	病院が多くあり、また近いため安心している	1234509651
デジタル生活	不満	フリーWi-Fiが利用できる箇所が少ない	1234509651
住宅環境	満足	どこを見ても緑がある。山に囲まれていて海もあります。田舎ですが、スーパーもあるし生活に不便はありません。	1226910085
医療・福祉	満足	総合病院はありませんが専門的な個人病院が多く、不便はありません。	1226910085
移動・交通	不満	路線バスが通っているので基本的に移動に問題はないのですが、本数が少ないのでコミニュティバスなどを運行してほしいです。	1226910085
遊び・娯楽	不満	田舎なので娯楽施設がありません。多くは望まないので、映画館などがあると嬉しいです。	1226910085
住宅環境	満足	自分の住んでいるところや周辺多とても静かな住環境	1230288734
移動・交通	満足	横浜線淵野辺駅利用していますが、橋本、町田で私鉄利用できるので以外と便利です	1234217841
都市景観	不満	道路環境があまりに酷い、日常的に交通渋滞起こる改善してほしい##	1234217841
医療・福祉	満足	駅からは遠いが北里病院がある。##また、相模原、矢部には総合病院が駅近にあるから。	1235045410
移動・交通	満足	町田で小田急線、橋本で京王線が利用できるから。##また、リニアも走るようになるから。	1235045410
買物・飲食	不満	相模原はショッピングモールが無いのでショッピングモールを建ててほしい	1235045410
事故・犯罪	不満	神奈川は青少年の犯罪が多いので何とかしてほしい	1235045410
買物・飲食	満足	近くにいろいろな場所があり選択肢が多いので生活に便利。	1236009815
移動・交通	満足	いろいろ交通手段がそろっているから移動が楽	1236009815
地域行政	不満	近隣自治体との行政サービスや手続き等での連携	1236009815
買物・飲食	満足	すぐそこに生活に関わるお店があり、この状態はこの先も続きそうだから。	1233316834
移動・交通	満足	バスを逃しても３分以内にはすぐに次のバスが来るのでストレスがない。電車も複数の路線があるので、一つがダメでも他を選べる。	1233316834
事故・犯罪	不満	夜になると人をだましそうな人がたくさん立っている。	1233316834
自然景観	不満	特に不満な項目がないので、消去法で選択しました。市街地なので自然は多くはないですが、少なくて困ることもないです。	1233316834
自然の恵み	満足	帷子川が流れ、そこには、翡翠、セキレイ、白鷺などの鳥が、餌を求めてやってきます。また、市民の森があり、ここが本当に横浜という感じの自然があり、その自然を満喫しています。	1235701271
買物・飲食	満足	買い物、飲食についてみ、横浜駅周辺、みなとみらいに行けば、何でも買えて食べることができます。	1235701271
移動・交通	不満	横浜でも、不便な場所はたくさんあり、これからバスの運転手不足により、さらにバス本数がなくなることが考えられますので、交通手段の対策をお願いしたいです。	1235701271
自然災害	不満	自然災害は、いつ来るか分からないので、それに対する対応をさらに強化して頂きたいと思います。	1235701271
自然景観	満足	山に囲まれて春は桜もきれいで、四季を感じられる点です。	1233903776
自然の恵み	満足	路地物の野菜を販売している場所が多く、安くておいしい野菜を購入できる点です。	1233903776
移動・交通	不満	駅までのバスの便が少なく、運賃が高い点を改善してほしいです。	1233903776
医療・福祉	不満	高齢者が多いので、近くに基幹病院があると良いと思います。	1233903776
自然災害	満足	山崩れ・土砂崩れ、水害等の 災害を心配なくてよい。	1230069875
移動・交通	満足	鉄道、バスが整備されており、自家用車も使用しやすい。	1230069875
買物・飲食	満足	スーパーがたくさんあり、満足できるところです。	1236648572
遊び・娯楽	不満	もう少し遊べるところがあればいいところです。	1236648572
自然災害	満足	たまに地震があるくらいで津波の心配はない	1231422456
買物・飲食	不満	それなりに満足できる飲食が充実しているから	1229452217
買物・飲食	満足	地域別の差はあれども昔から振り返ると、利用する施設の発展や建造がコンスタントに行われており、生活していくうえで不便を感じるような事は減ってきていると個人的には感じそれが満足という気持ちに繋がっている。	1236905658
自然景観	満足	残すべき自然の維持と育み、新たに増やしていく取り組みなどが目立つほどではないが着実に見られている。事実、身近にあるものとして現在も周囲周辺に在ると感じているため。	1236905658
事故・犯罪	不満	年々悪化していると感じる治安の状態は、正直どういうアプローチから改善されるのか、改善を求めるべきなのか分からないというのが本音である。	1236905658
医療・福祉	不満	科別の専門の医院やクリニックの立地の偏りや少なさが地域地域で目立ってきている。商いである以上、病院経営も戦略的なものが求められるからとは言え、もう少し各所にあっていって欲しい。	1236905658
買物・飲食	満足	駅にあるショッピングモールで買い物や飲食が完結できる	1235833675
遊び・娯楽	不満	映画館やゲームセンターやカラオケなどがあまり充実していない	1235833675
事故・犯罪	不満	幹線道路が多いせいか交通事故が多い気がする	1235833675
買物・飲食	満足	徒歩圏内にスーパーがあり、コンビニも3件あって非常に便利。	1236845948
医療・福祉	満足	徒歩圏内に様々な科の病院が入ったビルがある。	1236845948
移動・交通	満足	自宅が駅から５分に位置しており、２つの鉄道会社の駅が使用できるため、都心に出るにも１時間以内で行け、便利な立地。	1232036434
買物・飲食	満足	自宅から５分以内にスーパーうあ個人商店が立ち並んでいる。	1232036434
医療・福祉	不満	大きな総合病院から個人クリニックまで徒歩で通える。	1232036434
自然災害	不満	地震に強い地盤のため、安心して暮らせる。	1232036434
自然景観	満足	緑が多く、ハイキングコースや観光地が多い	1236527676
自然災害	不満	台風の影響で通行が難しくなったハイキングコースが残っている	1236527676
買物・飲食	満足	自宅近くに小売店や飲食店が多く行くのが楽しい	1231153646
都市景観	不満	歩道の雑草が伸びっぱなしになっていて、歩きづらく見た目も悪い	1231153646
買物・飲食	不満	お得なキャンペーンを増やしてほしい　商店街に人が集まるイベントを増やしてほしい	1231153646
移動・交通	満足	電車やバスの便が充実していて、駅やバス停も近くにある。	1235793828
医療・福祉	満足	病院や診療所が徒歩圏にたくさんあること。	1235793828
買物・飲食	不満	駅周りのお店の種類が偏っているので、色々な店舗があればいいと思う。	1235793828
遊び・娯楽	不満	あまり娯楽スポットがないので、もう少し色々とあればいいと思う。	1235793828
住宅環境	満足	緑や公園が多く、子育てしやすい地域だから	1232873292
公共空間	不満	もっと公共の場所を活用して仕事などに使えるようにしてほしい	1232873292
事故・犯罪	不満	外国人の方が増えって少し治安が悪くなったきがする	1232873292
移動・交通	満足	南区はJR及び小田急町田駅に近くまた、東名高速横浜町田IC,圏央道相模原愛原ICも近く交通の便が良い	1230595401
医療・福祉	満足	北里大学病院をはじめ高度な医療機関や中規模医療機関、町医者も多くあり困らない	1230595401
自然災害	満足	比較的高台にあるので、水害の心配がない。	1233608114
移動・交通	不満	道が狭いため交通渋滞がひどいので、拡幅工事をして欲しい。	1233608114
事故・犯罪	不満	犯罪率が高いので、警察署を独立で設置して欲しい。	1233608114
買物・飲食	満足	生活圏内に多くのスーパーマーケットがあり、価格も安い	1229032358
買物・飲食	不満	スーパーマーケットは、多いがコンビニが非常に少ない	1229032358
自然の恵み	満足	緑が多く温暖で季節的な気象災害も少ない点	1234371607
移動・交通	満足	新宿にも横浜にも電車一本で乗り換え無しで行ける点	1234371607
移動・交通	不満	中央リニア新幹線の一日も早く開業して欲しい	1234371607
公共空間	不満	橋本駅南側の開発計画を早く具体化して欲しい	1234371607
移動・交通	満足	公共交通機関が発達していて移動に便利だから。	1236710578
買物・飲食	満足	さまざまな飲食店が近くにあって便利だから。	1236710578
地域行政	不満	より市民のことを考えた政治や行政を期待しているから。	1236710578
自然景観	不満	自然あふれる環境がもう少し増えてほしいと思うから。	1236710578
遊び・娯楽	満足	近くに子供が遊べる公園があり、満足している。	1233580936
初等・中等教育	不満	国際化に伴い、インターナショナルスクールを増やして欲しい。	1233580936
移動・交通	満足	鉄道を始め、公共交通機関が整備されている	1234998054
環境共生	満足	少し歩けば、川のせせらぎがあり樹木や公園も数多い。	1234998054
自然災害	不満	埼玉県と比べ、地域防災力と伝達力が劣っていて、大規模地震などが起こった際、人口も多いし対応が出来ないと思う。	1234998054
子育て	不満	比較的子育て支援の施策が手薄。学校給食が貧弱。	1234523578
買物・飲食	満足	生活に必要な買い物が歩きor自転車の圏内で概ね済むため。	1236315724
医療・福祉	満足	日頃使うクリニックが近所にあって、そこから大きな病院が必要になっても複数建ってるので困る事が無い。	1236315724
